No,REQ,req version,Detection Verified in spec,all table verified,Failure Familly, related,Failure type,Failure severity,SAFETY RELEVANT ?,Defect Name,Description,Monitored Data,DataFiltering / DataConsitency Mechanism,Defect running condition,Defect Frozen condition,Defect Stop condition,Defect Protection,PAR_EnumDefectDetectionType,Defect Detection Condition,No detect condition,PAR_[Defect_Name]_InitialState,Defect filtering CounterHi,Defect Filtering CounterLo,PAR_[Defect_Name]_Increment,PAR_[Defect_Name]_Decrement,[Defect_Name]_DefectEvaluationPeriod (ms),Typical comfirmation time (ms) information only,Typical time to deconfirm (ms) information only,Function inhibition management,PAR_[Defect_Name]_Reversibility,Defect reporting,Defect logging,PAR_[Defect_Name]_RetryAuthorization,PAR_[Defect_Name]_Reinitialize,Defect retry condition,PAR_[Defect_Name]_NbrOfEvalPeriodBtwRetries,Delay between retries,PAR_[Defect_Name]_NbrMaxRetry,PAR_[Defect_Name]_NbrOfEvalPeriodMaxInRetryPreparation,Max delay in retry preparation,PAR_[DefectName]_DiagnosticSupressionNumberOfPeriods,Defect retry action,Defect retry counter init,Defect retry succeed counter value,Defect retry failed counter value,Defect retry increment,Defect retry decrement,Defect supression time (ms),commentaire
,,,,,,,,,,,,,"DataFiltering (e.g. Mean...)
DataConsitency Mechanism (e.g. communication check)",,,,,"Description in F_Defect_Handler_Management chapter 2.1.4.4 Condition sets for Detection management configuration.
DetectionType_1D ( Value1, Operator1)
DetectionType_2DIN (Value1, Operator1, Value2, Operator2)
DetectionType_2DOUT(Value1, Operator1, Value2, Operator2)
DetectionType_2DHYST (Value1, Operator1, Value2, Operator2)
DetectionType_2DDEADZONE (Value1, Operator1, Value2, Operator2)",,,,,,,,,,,,"In Defect confirmed state, the counter action will depend on the reversibility of the defect. 
A defect that considered Reversible have a counter that can be decremented even in Confirmed state. 
A not reversible Defect has a counter that cannot be decremented once confirmed.",,,,,,,,,,,,,,,,,,,
1.0,LAMP_ECU_DEF_1,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_HBRIDGE1_ELEC_ERROR,HBridge controller #1 Error Pin State,Error Pin of HBridge controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
HBridge controller #1 activated",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR HBridge #1 is deactivated",HW,1D,Error Pin low,Error Pin high,DEF_HBRIDGE1_ELEC_ERROR_Absent,960.0,-1024.0,1.0,100.0,10.0,9600.0,200.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
Remark only on activated functions
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_HBridge1_ELEC_Defect,500,5000,3,500,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,60,
2.0,LAMP_ECU_DEF_2,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH1OV,Detection state of the CH1 Output voltage fault of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost1 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH1OV is 1,CH1OV is 0,DEF_LED_BOOST_ELEC_CH1OV_Absent,127.0,-128.0,12.0,20.0,20.0,220.0,260.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
3.0,LAMP_ECU_DEF_3,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH2OV,Detection state of the CH2 Output voltage fault of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost2 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH2OV is 1,CH2OV is 0,DEF_LED_BOOST_ELEC_CH2OV_Absent,127.0,-128.0,12.0,20.0,20.0,220.0,260.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
4.0,LAMP_ECU_DEF_4,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH1OC,Detection state of the CH1 Output over current fault  of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost1 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH1OC is 1,CH1OC is 0,DEF_LED_BOOST_ELEC_CH1OC_Absent,127.0,-128.0,12.0,20.0,20.0,220.0,260.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
5.0,LAMP_ECU_DEF_5,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH2OC,Detection state of the CH2 Output over current fault  of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost2 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH2OC is 1,CH2OC is 0,DEF_LED_BOOST_ELEC_CH2OC_Absent,127.0,-128.0,12.0,20.0,20.0,220.0,260.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
6.0,LAMP_ECU_DEF_6,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH1ILIM,Detection state of the CH1 Cycle/Cycle switch current limit of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost1 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH1ILIM is 1,CH1ILIM is 0,DEF_LED_BOOST_ELEC_CH1ILIM_Absent,127.0,-128.0,12.0,20.0,20.0,220.0,260.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
7.0,LAMP_ECU_DEF_7,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_ELEC_CH2ILIM,Detection state of the CH2 Cycle/Cycle switch current limit of boost defect ,Error Pin of Boost controller,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost2 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,CH2ILIM is 1,CH2ILIM is 0,DEF_LED_BOOST_ELEC_CH2ILIM_Absent,127.0,-128.0,12.0,24.0,20.0,220.0,220.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
8.0,LAMP_ECU_DEF_8,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LED_BOOST_THERM_TW,Detection state of the Thermal warning at 150°C (typ.) ,Boost SPI data,HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
Boost1 and Boost2 is not  defective
And 
DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed",Never,"Condition_GENERAL_UV_OV OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
OR Boost is deactivated",HW,1D,Boost TW is 1,Boost TW is 0,DEF_LED_BOOST_THERM_TW_Absent,127.0,-128.0,12.0,127.0,20.0,220.0,60.0,"Switch off boosts
Switch off all bucks
Set lighting (AFS / ADB / LVL / DBL) and signaing function failure flag",0,"Functionnal Failure flags to related outputs function's shall be reported on communication
","DTC for Driver internal failure
DTC for Related DCDC output function's failure",1.0,0.0,Activation_Condition_Boost_ELEC_Defect,500,10000,3,250,5000,6,"remove Function inhibition

Retry attempt is performed according to the actual requested functions from the vehicle",50,0,100,1,1,120,
9.0,LAMP_ECU_DEF_9,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LedDualBoost_CommSPE,Detection state of the SPE defect for Dual BOOST,Boost Mode State data,,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
",,,,1D,SPE is 1,SPE is 0,DEF_LedDualBoost_CommSPE_Absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,,1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
