"X mean mandatory standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction","Reversibility
",PAR_DEFECTRETRY_Authorization,descr,Retry Group Number,TI_Stus change from OFF to ON,TSRP_R change from OFF to ON,AM_ActiveStatus_Out1 change from 0 to 1,AM_ActiveStatus_Out2change from 0 to 1,AM_ActiveStatus_Out3 change from 0 to 1,AM_ActiveStatus_Out4 change from 0 to 1,AM_ActiveStatus_Out5 change from 0 to 1,AM_ActiveStatus_Out6 change from 0 to 1,AM_ActiveStatus_Out7 change from 0 to 1,AM_ActiveStatus_IPD1  change from 0 to 1,AM_ActiveStatus_IPD2  change from 0 to 1,AM_ActiveStatus_IPD3  change from 0 to 1,AM_ActiveStatus_IPD4  change from 0 to 1,AM_ActiveStatus_IPD5  change from 0 to 1,AM_ActiveStatus_PWMoutput 1  change from 0 to 1,AM_ActiveStatus_PWMoutput 2  change from 0 to 1,DEF_Driver_ELEC_UV_absent,DEF_Driver_ELEC_OV_absent,Boost is not  defective,DEF_Driver_ELEC_RANGEREADYNESS_absent
DCDC Controller Related defect,,,,,,,,,,,,,,,,,,,,,,,,
DEF_HBRIDGE1_ELEC_ERROR,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH1OV,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH2OV,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH1OC,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH2OC,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH1ILIM,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_ELEC_CH2ILIM,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LED_BOOST_THERM_TW,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,E,E,,E
DEF_LedDualBoost_CommSPE,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LedDualBoost_CommSILENT,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LED_DualBUCK_1_THERM_CH1TP,0.0,1.0,,5.0,,,,,D,,,,,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_1_THERM_CH2TP,0.0,1.0,,6.0,,,,,,D,,,,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_1_COMM_SPE,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LED_DualBUCK_1_COMM_SILENT,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LED_DualBUCK_1_STATE_PC,0.0,1.0,,7.0,,,,,D,D,,,,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_1_STATE_STANDALONE,0.0,1.0,,7.0,,,,,D,D,,,,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_2_THERM_CH1TP,0.0,1.0,,8.0,,,,,,,,D,,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_2_THERM_CH2TP,0.0,1.0,,9.0,,,,,,,,,D,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_2_COMM_SPE,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LED_DualBUCK_2_COMM_SILENT,1.0,0.0,,,,,,,,,,,,,,,,,,,D,D,D,D
DEF_LED_DualBUCK_2_STATE_PC,0.0,1.0,,10.0,,,,,,,,D,D,,,,,,,,E,E,E,E
DEF_LED_DualBUCK_2_STATE_STANDALONE,0.0,1.0,,10.0,,,,,,,,D,D,,,,,,,,E,E,E,E
DEF_StuckOpenError_HBridge_SW2,0.0,1.0,,12.0,,,D,,,,,,,,,,,,,,E,E,,E
External Defect,,,,,,,,,,,,,,,,,,,,,,,,
Temperature sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func11,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func12,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func13,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func14,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func15,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func11,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func12,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
